"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TLR3" 85.6798691080509 1.01684745680305 0.338174354008877 3.00687336206564 0.00263949696579285 0.0165487444793375
"SLC6A19" 197.768561531705 2.0468498121165 0.416782316286607 4.91107643518386 9.05777688508552e-07 1.77193461815174e-05
"OTULINL" 612.324042681823 -1.56176825467005 0.353901814609292 -4.41299871941671 1.0194859974669e-05 0.000152700431138614
"BASP1" 57.9907510289485 2.9992983666841 0.817442200743135 3.66912591979891 0.000243381186497992 0.00232301015190072
"SLC45A2" 148.650097211378 2.3909282926547 0.673841354715256 3.54820652654219 0.00038786396389277 0.00339483157459294
"C1QTNF3" 515.848584578625 1.68314774003143 0.279749608936477 6.01662231604272 1.78093940593903e-09 6.08564727306482e-08
"PTGER4" 62.2108083704116 -2.03544688053924 0.320662349470393 -6.34763290389717 2.18653063216259e-10 8.71685835604819e-09
"PLCXD3" 9.63527002898024 -4.18610103680944 1.40811927373129 -2.97283128986435 0.00295066589260024 0.0181167229287462
"PLK2" 639.046172764546 -1.10113132967623 0.19084293681714 -5.76983014431025 7.93514739074636e-09 2.33281511839316e-07
"ELOVL7" 3179.82088024049 -2.55039322870823 0.737604414084472 -3.45767077854845 0.000544866779975166 0.00452250886197053
"ERBIN" 6529.75306486576 1.30480980883829 0.180959378829684 7.21051220045551 5.5741801968565e-13 3.17688024432395e-11
"OCLN" 4211.52860825269 1.38847216647183 0.127235144233998 10.9126466184398 1.00293207050049e-27 2.55375622532118e-25
"NAIP" 5129.04864674119 1.09575228684477 0.10304395838442 10.633833404933 2.07408053249388e-26 4.67764419521155e-24
"MCCC2" 3227.04592761052 -1.13626679859349 0.242562711887449 -4.68442486378832 2.80747127585107e-06 4.88122786694503e-05
"HMGCR" 3718.24866320551 -1.37476714982212 0.0788462581707222 -17.4360480981279 4.39428948985277e-68 8.67158102203822e-65
"IQGAP2" 1121.78711106071 -1.49796538822954 0.271233940126801 -5.52278003088127 3.33677381692425e-08 8.59341733242792e-07
"LHFPL2" 673.03284770261 1.60036597586286 0.273821666864029 5.84455567081749 5.07922162065743e-09 1.56919122750135e-07
"SSBP2" 729.966790273874 1.60855125477231 0.333708583162717 4.82022739579336 1.43394678019857e-06 2.67901986023607e-05
"ST8SIA4" 218.707486500109 1.64119794018766 0.434762102079632 3.77493330797967 0.000160050477393838 0.00164714269010203
"FBXL17" 13715.4349475473 1.01220310855508 0.227904875783591 4.44134029636216 8.94002849667598e-06 0.000135447437501942
"STARD4" 1213.8099300153 1.00929109145648 0.287448138984405 3.51121108323209 0.000446070048309901 0.00382723252862413
"KCNN2" 2972.7320510609 -2.32871217327524 0.081675230614658 -28.5118530520232 8.35208995424119e-179 1.31854444107606e-174
"TRIM36" 1292.1067013995 -1.49959119706739 0.252601423341922 -5.93659044841383 2.91010401392259e-09 9.55888087377789e-08
"PRR16" 49.6260996038091 -2.56526886415143 0.77826477687674 -3.29613897528053 0.000980235116382999 0.00737957643411464
"MEGF10" 48.8538679981474 4.68998196900709 0.877411789072779 5.34524612891663 9.02942723472845e-08 2.15328652197369e-06
"SPOCK1" 46.6047668508502 -1.38987739437478 0.483308110265784 -2.87575847550014 0.00403057992026483 0.0231553002915651
"IGIP" 494.627232392753 1.08691580745926 0.233364848575246 4.65758152564609 3.19945738211601e-06 5.47828998822835e-05
"SPRY4" 201.359109844384 1.32147259526196 0.395739249182303 3.3392507768498 0.00084004691139402 0.00651686515487832
