"baseMean.AR" "log2FoldChange.AR" "lfcSE.AR" "stat.AR" "pvalue.AR" "padj.AR" "baseMean.HOX" "log2FoldChange.HOX" "lfcSE.HOX" "stat.HOX" "pvalue.HOX" "padj.HOX"
"ABI2" 1440.10432056776 0.106151801713033 0.0940113256158432 1.12913844175327 0.258839436960272 0.487799712461719 5.1198964269341 -0.191789658394613 0.644698545472919 -0.297487344653346 0.766094468413483 1
"ABI3" 68.2784837952058 0.220740111910938 0.564225394052514 0.391226829273822 0.695629578656028 0.853825544879701 0.372949761083552 -0.70006256548512 2.54611987158126 -0.274952712674266 0.783352568347445 1
"ABI3BP" 18.0076118854247 1.46332504151967 0.807228138875903 1.81277754211766 0.0698661391005648 0.206009850201833 0 0 NA NA NA 1
"ABL1" 4660.99357017433 -0.0353949569936376 0.0924755640557341 -0.382749295503679 0.701905660023129 0.857395903341469 12.3584052417347 -0.421708687022014 0.417897409396637 -1.00912012742764 0.312917026233915 0.655935847520585
"ABL2" 1597.79920152013 0.470252337867428 0.101297843161254 4.64227394376843 3.44595561350499e-06 5.84331914827102e-05 2.75225975471423 0.281689088645783 0.868217991766606 0.32444511783569 0.745601066371693 1
"ABLIM1" 5238.76934619679 0.114471421205734 0.110870150147927 1.03248188130892 0.301846431243022 0.53428070523978 21.0057425600189 0.0540783470286734 0.323489263854676 0.167171999417475 0.867234715591487 0.956836112823314
"ABLIM2" 35.7884892320332 -0.111148778043492 0.583141884064692 -0.190603318130313 0.848836390362857 0.937266388836333 0 0 NA NA NA 1
"ABLIM3" 28.6122746152947 -0.0198251137897772 0.410376759821629 -0.0483095431583264 0.961469549094987 0.986143436302141 0.503242638397526 2.46197643797513 2.05480825899146 1.19815385557362 0.230857125829815 1
"ABR" 4100.7028845791 1.00822236043793 0.17318009619398 5.82181429965608 5.82122090760906e-09 1.76730027823893e-07 14.8898079602512 0.583735847706691 0.384615904495917 1.51771115256334 0.12908723132814 0.403414613759409
"ABRA" 0 0 NA NA NA 1 0 0 NA NA NA 1
"ABRACL" 640.01336373257 0.306080142783957 0.271876481459152 1.12580588486814 0.260247692702097 0.489393113657273 19.1288305584621 0.303350910179079 0.336508952867706 0.901464604712426 0.367341345018056 0.704744698205371
"ABT1" 1072.44103022088 -0.00388613199150415 0.255936153507749 -0.0151839899843869 0.987885394332755 0.995041824171315 6.62035059864324 -0.144403221068391 0.562213897494083 -0.256847476933653 0.797296517873591 1
"ABTB1" 216.073636413799 1.23459333110624 0.330434988166663 3.73626696723637 0.000186772374787585 0.00187330081370496 0.999799033862967 0.0192769371053175 1.4035278561527 0.0137346309307738 0.989041694562375 1
"ABTB2" 1403.24537259 0.350455741700669 0.276244791638385 1.26864198822409 0.204568781604418 0.420811808866492 1.24840566824486 -0.566033764643471 1.28750331406632 -0.439636743812151 0.660200223815899 1
"AC006486.1" 2612.98640847725 0.0544686027977498 0.0856654578277702 0.635829238282466 0.524887728130444 0.73764578946623 0 0 NA NA NA 1
"AC010327.2" 55.9187272061971 0.186040114860123 0.338819821348533 0.549082737012452 0.582948671623891 0.781497049395796 1.87216610808512 -0.17462190522496 1.04547627182111 -0.167026177381135 0.867349451672458 1
"AC018512.1" 21577.4637269379 0.089334669466564 0.0602823426624178 1.48193758770856 0.138356902476163 0.326786418221303 0 0 NA NA NA 1
"AC020922.1" 3.9909748445275 -0.987007093760961 1.31235428720348 -0.752088901133698 0.451997598017983 1 0.249998264547837 0.0192689945202136 3.20547704126937 0.00601127204223652 0.995203727732594 1
"AC040160.1" 758.708396645908 -0.307963602591422 0.177613251137403 -1.73389992367844 0.0829358414241038 0.232559170259738 0 0 NA NA NA 1
"AC093323.1" 1676.23330091932 -0.293506795310368 0.132954978305424 -2.2075652905311 0.0272745909492592 0.104434627047285 0 0 NA NA NA 1
"AC109583.1" 63.7844538476432 0.540655542022607 0.426598112177643 1.26736505996883 0.205024787114197 0.421373505992284 0 0 NA NA NA 1
"AC138647.1" 0 0 NA NA NA 1 0 0 NA NA NA 1
"ACAA1" 3775.13829822554 -0.381497043328785 0.0948601083287065 -4.02168045188007 5.77844147026625e-05 0.000692141543938492 70.1166825751892 0.833589054025735 0.197670352518252 4.21706666379705 2.47500824153724e-05 0.000505183644237823
"ACAA2" 409.411162298731 0.702822894080691 0.232505356407685 3.02282452731253 0.00250427407133794 0.0157887279409792 2.75079046720701 0.0194235320271679 0.874801142641708 0.0222033683775414 0.98228573067736 1
"ACACA" 12851.3598232145 -0.50871749242929 0.177219009851807 -2.87055825926736 0.00409747683221765 0.0234561701530869 51.953012577194 0.662550960782853 0.213978829118877 3.0963388458153 0.00195926328874431 0.01947187706071
"ACACB" 1135.92624411545 0.164724372996837 0.113123924421556 1.45614089892243 0.145353673424199 0.337406034751923 3.36786292866303 -0.521087236471935 0.801255071542229 -0.650338768488495 0.515473419990584 1
"ACAD10" 1497.61169023543 -0.0669493788478341 0.207491701232558 -0.322660513409146 0.746952359622141 0.882761682796796 5.62070537023865 0.0836284389386286 0.611983112647214 0.136651546767169 0.891306230209489 1
"ACAD11" 717.113130383655 -0.0263439220500283 0.305153303280031 -0.0863301224888042 0.93120399357329 0.974813946564075 1.99959806772593 0.0192779953192275 1.00625904321532 0.0191580840432778 0.984714995547786 1
