"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CDK4" 124.533239208146 -1.37221857861898 0.160008865497696 -8.57589093173552 9.83226892866293e-18 1.76161484971878e-15
"FASN" 415.820064220899 1.63432636791949 0.140738151359593 11.6125325800515 3.55915180859182e-31 2.08695719685611e-28
"FGFRL1" 27.7848969427985 -1.42302778555506 0.300280210595142 -4.7389995588943 2.14775972003679e-06 6.3546101808428e-05
"INCENP" 13.4497373579182 -1.42738317474591 0.431961808211233 -3.30441985289567 0.000951731840083951 0.0108628725514476
"CENPM" 38.2445502697933 -1.2285632168992 0.259154847163817 -4.74065305104096 2.13030457492582e-06 6.33201129413434e-05
"SCD" 239.502513947159 1.40869114991414 0.172578958813984 8.16258922637557 3.27918178797863e-16 4.8069823937414e-14
"G3BP1" 57.1404705013231 -1.75233648093205 0.219843173052812 -7.97084783938725 1.57589445582861e-15 1.99304298825383e-13
"VRK1" 16.2014518642423 -1.20361934575606 0.383561117722683 -3.13801188426582 0.00170097980198469 0.0173871944893839
"ARRDC1" 26.1555791156713 -1.2037254965326 0.309889089052506 -3.8843752137677 0.000102593367682259 0.00170548252976952
"ANLN" 22.0675192687851 -1.36653124728341 0.338352369455069 -4.03878137305279 5.37296146458296e-05 0.000992997176119201
"FN1" 28.0429937782702 -1.37476977597842 0.30118211348687 -4.56457974898418 5.00495919434269e-06 0.00013069630284822
"EZH2" 14.2017000676873 -1.46687514668696 0.418892909028386 -3.5017903504009 0.000462143114090183 0.00609575273186437
"RFC4" 31.0397363645675 -1.05990594972599 0.276685046960126 -3.83073086663311 0.000127763192737903 0.00205152722887942
"FANCI" 21.3004431806043 -1.51043681071486 0.34416915086945 -4.3886467072925 1.140581813378e-05 0.00026463139195281
"NR2C2AP" 17.8226518292895 -1.19882324092237 0.366064457868369 -3.2748965794255 0.00105700662016631 0.0117546425863322
"KCNMA1" 63.6491989350801 1.19329732085458 0.196997411557978 6.05742639670869 1.3831659548716e-09 9.49087277544877e-08
"FAM83D" 19.6783548064898 -1.5907770333474 0.360175498028134 -4.41667198922882 1.00232153471483e-05 0.000235089959960388
"DEPDC1B" 12.3265194626986 -1.54668889360168 0.450895742581295 -3.43025836692795 0.000603006777064177 0.00767138799223658
"SEMA3C" 9.96869009846475 -1.3788647806637 0.49642209234872 -2.77760559394099 0.00547610437036589 0.0428651373651213
"PSRC1" 10.2088792429451 -1.81126875724127 0.509129003484873 -3.55758313677584 0.000374282662103931 0.00510385448323542
"FXYD3" 45.2266404655196 1.13505383877944 0.245828822553165 4.61725287942575 3.88853311890812e-06 0.00010494158417137
"NUSAP1" 30.6450708141552 -1.48887623660027 0.288301814518356 -5.16429714147869 2.4134405223585e-07 9.32137207737265e-06
"OAZ3" 16.5632145421916 1.84802195415267 0.40280730879101 4.58785606373267 4.47821213357476e-06 0.000119357306865939
"ABHD2" 116.209530198727 1.25772571715156 0.158869850533435 7.91670485575777 2.43887755807748e-15 3.02514620184611e-13
"CDK19" 10.0809439892363 -2.11916954797585 0.540533212353013 -3.9205168147778 8.83592701861561e-05 0.00150373955857706
"RAD51AP1" 10.4702372695412 -1.30270740690377 0.478718365780435 -2.72123966829646 0.00650375894064592 0.0487215391023998
"HIST2H2BE" 12.539784864075 1.52858315416942 0.447357311812543 3.41691778318343 0.000633344034329145 0.00796309750764714
"PERP" 21.3070116239544 -1.05767085067707 0.335196620037276 -3.15537445025385 0.00160292237484106 0.0165686687784052
"BTG1" 13.8181208622015 -1.61876428799229 0.432393025065169 -3.74373358068926 0.000181305896346514 0.00273869562396959
"GLYATL1" 66.9277048030163 1.42928541638262 0.199238589841753 7.17373786633324 7.29772828315631e-13 6.8217894820809e-11
"SPTSSA" 9.20969694013978 -1.83916523863376 0.537073269614382 -3.42442147596413 0.000616109865999882 0.00777672922837425
"ERBB2" 53.2660078035632 1.38189369664917 0.21949130885062 6.29589255212674 3.05636036958463e-10 2.26592234296792e-08
"TYMS" 77.0703254678094 -1.62562886146023 0.189488942517073 -8.57901701210754 9.56873253003159e-18 1.76161484971878e-15
"ZWINT" 43.7549689712204 -1.03663169441258 0.234642097412672 -4.41792715733112 9.96519915363037e-06 0.000234582242850058
